Country Code,1995,2000,2005,2010,2015
USA,10.68,12.31,13.26,14.26,14.49
GBR,7.18,8.04,9.84,12.13,13.20
SWE,10.60,11.31,12.47,14.76,16.77
CHE,21.07,21.92,24.37,26.50,29.39
ESP,2.57,4.07,9.37,13.48,12.69
NOR,5.35,6.51,7.81,10.77,14.24
NZL,16.02,17.59,20.31,21.69,22.96
NLD,8.71,9.79,10.63,11.02,11.70
JPN,1.11,1.34,1.59,1.68,1.61
ITA,3.11,3.71,6.74,9.71,9.68
DEU,9.15,10.98,12.68,14.43,14.88
FRA,10.46,10.57,11.00,11.43,12.09
FIN,1.95,2.63,3.66,4.62,5.74
DNK,5.79,6.95,8.13,9.18,10.10
CAN,16.60,17.95,18.85,20.55,21.80
BEL,8.71,8.31,8.25,9.63,12.28
AUT,11.22,12.38,13.80,15.20,17.47
AUS,22.92,22.96,24.06,26.54,28.22